title,author,isbn,book_type,genre,sub_genre,topic,lexile_rating,grade,owned
QED,Richard Feynmann,,,Science,,,,9,
Queen of the Reformation,Charles Ludwig,,,History,,,,,
Quick as a Cricket,"Wood, Audrey.",,Fiction,,,,,1,
Rabbit Hill,Robert Lawson,,Fiction,,,,,3,
Ramona,Beverly Cleary,,Fiction,,,,,3,
Raoul Wallenberg: The Man Who Stopped Death,Sharon Linnea,,,,,,,8,
Rascal,Sterling North,,Fiction,,,,,5,
"Rats, Bulls, and Flying Machines",Deborah M. Prum,,Fiction,,,,,4,
Rebecca: Who Slammed Doors for Fun and Perished Miserably,Hilaire Belloc,,Fiction,,,,,2,
Rebel’s Keep,Douglas Bond,,,,,,,7,
Redwall,Brian Jacques,,Fiction,,,,,4,
"Republic
",Plato,,Non-Fiction,History,Politics,,,10,
Ribsy,Beverly Cleary,,Fiction,,,,,2,
Richard II,Shakespeare,,Fiction,Historical Play,,,,10,
Rip Van Winkle,Washington Irving,,Fiction,,,,,6,
Robinson Crusoe,Daniel Defoe,,Fiction,,,,,5,
"Roll of Thunder, Hear My Cry",Mildren Taylor,,,,,,,8,
Rowan of Rin,Emily Rodda,,Fiction,Fantasy,,,,3,
Rules for the Direction of the Mind,Descartes,,,"Philosophy
",,,,10,
Rumpelstitzkin,Andrew Lang,,Fiction,,,,,1,
Russian Tales and Legends,Charles Downing,,,History,,,,,
Saint George and the Dragon,Spenser,,Fiction,Adventure,,,,,
Sammy the Seal,"Hoff, Syd.",,Fiction,,,,,1,
"Sarah, Plain and Tall",Patricia MacLachlan,,Fiction,,,,,3,
Scandinavian Legends and Folk-Tales,Gwyn Jones,,,History,,,,,
Scottish Folk-Tales and Legends,Barbara Ker Wilson,,,History,,,,,
Secret Agents Four,Donal Sobol,,Fiction,,,,,2,
Secret Seven,Enid Blyton,,Fiction,Adventure,,,,3,
Sergeant York and the Great War,Alvin York,,,,,,,8,
Seven Tales by H. C. Andersen,Eva Le Gallienne,,Fiction,,,,,2,
Shakespeare Stories,Leon Garfield,,,Classic,,,,,
Sherlock Holmes (excerpts),Arthur Conan Doyle,,Fiction,,,,,6,
Sherlock Holmes: The Voice from the Crypt (and other tales),Donald Thomas,,,Mystery,,,,,
Shoeshine Girl,Clyde Bulla,,Fiction,,,,,3,
Sickness Unto Death,Kierkegaard,,Non-Fiction,Philosophy,Religion,,,12,
Sir Gawain and the Green Knight,Roger Lancelyn Green,,Fiction,Myth,,,,1,
Sir Gawain and the Green Knight,J.R.R. Tolkien,,Fiction,Myth,,,,,
Snow Treasure,Marie McSwigan,,Fiction,,,,,3,
Socks,Beverly Cleary,,Fiction,,,,,1,
Soft Rain: A Story of the Cherokee Trail of Tears,Cornelia Cornelissen,,,,,,,8,
Song of the Swallows,Leo Politi,,Fiction,,,,,2,
Sounder,William Armstrong,,Fiction,,,,,4,
Squanto and the First Thanksgiving,Joyce Kessel,,Fiction,,,,,2,
Stalin: Russia’s Man of Steel,Albert Marrin,,,,,,,8,
Starry Messenger: Galileo,Peter Sis,,Non-Fiction,,,,,4,Kindle
Stellaluna,Janell Cannon,,Fiction,,,,,2,
Stone Fox,John Gardiner,,Fiction,,,,,3,
Story of the Confederate States,Joseph T. Derry,,,,,,,8,
Strawberry Girl,Lois Lenski,,Fiction,,,,,4,
"Streams to the River, River to the Sea",Scott O'Dell,,,,,,,7,
Strong Poison,Dorothy Sayers,,Fiction,,,,,,
Stuart Little,E. B. White,,Fiction,,,,,3,
Summa theologiae,Aquinas,,Non-Fiction,Religion,Philosophy,,,11,
Summer of the Monkeys,Wilson Rawls,,Fiction,,,,,5,
Swiss Family Robinson,Johann Wyss,,Fiction,,,,,5,
Swiss-Alpine Folk-Tales,Fritz Muller-Guggenbuhl,,,History,,,,,
Tales of Ancient Egypt,Roger Lancelyn Green,,,History,,,,,
Tales of the Greek Heroes,Roger Lancelyn Green,,,History,,,,,
That Hideous Strength,C. S. Lewis,,,,,,,7,Physical
The 101 Dalmations,Dodie Smith,,Fiction,,,,,4,
The Adventures of Huckleberry Fin,Mark Twain,,Fiction,Literature,Period Fiction,,,6,
,,,,,,,,,
The Adventures of Pinocchio,Carlo Collodi,,Fiction,,,,,1,
The Adventures of Robin Hood,Roger Lancelyn Green,,,Historical Fiction,,,,,
The Adventures of Tom Sawyer,Mark Twain,,,,,,,8,
The African Slave Trade,Shirlee Newman,,,,,,,7,
The American Revolution,Alice Carter,,,,,,,7,
The American Revolution (Landmark),Bruce Bliven,,,,,,,7,
The Art of More,Michael Brooks,,,Mathematics,,,,,
The Baronet’s Song,George MacDonald,,,,,,,7,
The Bears on Hemlock Mountain,Alice Dalgliesh,,Fiction,,,,,2,
The Beggar’s Bible,Louis Vernon,,,History,,,,,
The Best Christmas Pageant Ever,Barbara Robinson,,Fiction,,,,,4,
The Best of Father Brown,G. K. Chesterton,,,,,,,8,
The Best Short Stories of O. Henry,O. Henry,,,,,,,7,
The Biggest Ideas I,Sean Carrol,,,Science,,,,,
The Black Arrow,Robert Louis Stevenson,,,,,,,7,Kindle
The Black Stallion,Walter Farley,,Fiction,,,,,4,
The Black Star of Kingston,S. D. Smith,,,Fantasy,,,,,
The Bobbsey Twins,Laura Lee Hope,,Fiction,,,,,3,
The Book of Three,Lloyd Alexander,,Fiction,,,,,4,Kindle
The Borrowers,Mary Norton,,Fiction,,,,,4,
The Boxcar Children,Gertrude Werner,,Fiction,,,,,2,
The Boy’s King Arthur,Sir Thomas Malory,,Fiction,Classic,,,,,
The Boys’ War: Confederate & Union Soldiers Talk About the Civil War,Jim Murphy,,Non-Fiction,,,,,8,
The Brave Tin Soldier,Hans Christian Andersen,,Fiction,,,,,2,
The Bronze Bow,Elizabeth George Speare,,Fiction,Historical Fiction,,,,,
The Cabin Faced West,Jean Fritz,,Fiction,,,,,3,
The Call of the Wild,Jack London,,Fiction,Adventure,,,,6,
The Captive Princess,Wendy Lawton,,,,,,,7,
The Carrot Seed,"Krauss, Ruth.",,Fiction,,,,,1,
The Cay,Theodore Taylor,,Fiction,,,,,6,
The Charge of the Light Brigade,Alfred Lord,,Non-Fiction,Poetry,,,,,
The Children of Odin,Padric Colum,,,Historical Fiction,,,,,
The Children’s Homer (Iliad and Odyssey),Padraic Colum,,,History,,,,,
The Circle Trilogy,Ted Dekker,,,Fantasy,,,,7,
The Complete Father Brown,G. K. Chesterton,,,,,,,8,
The Cooper Kids Adventure,Frank Peretti,,Fiction,,,,,4,
The Count of Monte Cristo,Alexandre Dumas,,,,,,,7,
The Courage of Sarah Noble,Alice Dalgliesh,,Non-Fiction,,,,,3,
The Cricket in Times Square,George Selden,,Fiction,,,,,5,
The Devils,Dostoevsky,,,Literature,,,,10,
The Diary of a Young Girl: The Definitive Edition,Anne Frank,,,,,,,8,
The Door in the Dragon’s Throat,Frank Peretti,,Fiction,,,,,3,
The Door in the Wall,Marguerite deAngeli,,Fiction,Historical Fiction,,,,4,
The Double Life of Pocahontas,Jean Fritz,,,,,,,7,
The Duel,Eugene Field,,Fiction,,,,,2,
The Eagle of the Ninth,Rosemary Sutcliffe,,,Historical Fiction,,,,,
The Elephant's Child,Rudyard Kipling,,Fiction,,,,,2,
The Emperor’s New Clothes,Hans Christian Andersen,,Fiction,,,,,2,
